"UF";"Município";"Cargo";"Turno";"Situação totalização";"Votos nominais";"Votos em trânsito";"Votos válidos";"% votos válidos"
"BA";"SENTO SÉ";"Presidente";"2";"Não eleito";"4429";"0";"18052";"24,53"
"BA";"SERRA DO RAMALHO";"Presidente";"2";"Não eleito";"2292";"0";"14953";"15,33"
"BA";"SERRA DOURADA";"Presidente";"2";"Não eleito";"3601";"0";"10113";"35,61"
"BA";"SERRA PRETA";"Presidente";"2";"Não eleito";"1852";"0";"10902";"16,99"
"BA";"SERRINHA";"Presidente";"2";"Não eleito";"10381";"0";"40932";"25,36"
"BA";"SERROLÂNDIA";"Presidente";"2";"Não eleito";"2061";"0";"6498";"31,72"
"BA";"SIMÕES FILHO";"Presidente";"2";"Não eleito";"11165";"0";"57210";"19,52"
"BA";"SÍTIO DO MATO";"Presidente";"2";"Não eleito";"828";"0";"6329";"13,08"
"BA";"SÍTIO DO QUINTO";"Presidente";"2";"Não eleito";"1671";"0";"6396";"26,13"
"BA";"SOBRADINHO";"Presidente";"2";"Não eleito";"2396";"0";"12877";"18,61"
"BA";"SOUTO SOARES";"Presidente";"2";"Não eleito";"1508";"0";"8544";"17,65"
"BA";"TABOCAS DO BREJO VELHO";"Presidente";"2";"Não eleito";"1146";"0";"6577";"17,42"
"BA";"TANHAÇU";"Presidente";"2";"Não eleito";"5030";"0";"12557";"40,06"
