"Mês/Ano";"UF";"Município";"Zona";"Quantidade";"%";
"";"AM";"TONANTINS";"47";"9.227";""
"";"AM";"UARINI";"60";"7.371";""
"";"AM";"URUCARÁ";"27";"11.577";""
"";"AM";"URUCURITUBA";"3";"12.212";""
"";"AP";"AMAPÁ";"1";"6.081";""
"";"AP";"CALÇOENE";"1";"7.590";""
"";"AP";"CUTIAS";"10";"4.254";""
"";"AP";"FERREIRA GOMES";"12";"6.740";""
"";"AP";"ITAUBAL";"10";"5.644";""
"";"AP";"LARANJAL DO JARI";"7";"28.762";""
"";"AP";"MACAPÁ";"2";"167.663";""
"";"AP";"MACAPÁ";"10";"125.504";""
"";"AP";"MAZAGÃO";"5";"15.092";""
"";"AP";"OIAPOQUE";"4";"19.298";""
"";"AP";"PEDRA BRANCA DO AMAPARI";"11";"8.877";""
"";"AP";"PORTO GRANDE";"12";"13.504";""
"";"AP";"PRACUÚBA";"1";"3.290";""
"";"AP";"SANTANA";"6";"77.459";""
"";"AP";"SERRA DO NAVIO";"11";"3.596";""
"";"AP";"TARTARUGALZINHO";"8";"9.028";""
"";"AP";"VITÓRIA DO JARI";"7";"9.728";""
"";"BA";"ABAÍRA";"105";"6.909";""
"";"BA";"ABARÉ";"158";"12.713";""
"";"BA";"ACAJUTIBA";"21";"11.138";""
"";"BA";"ADUSTINA";"52";"11.118";""
"";"BA";"ÁGUA FRIA";"74";"12.009";""
"";"BA";"AIQUARA";"147";"3.787";""
"";"BA";"ALAGOINHAS";"163";"103.306";""
"";"BA";"ALCOBAÇA";"112";"17.010";""
"";"BA";"ALMADINA";"135";"5.022";""
"";"BA";"AMARGOSA";"36";"26.504";""
"";"BA";"AMÉLIA RODRIGUES";"192";"18.144";""
"";"BA";"AMÉRICA DOURADA";"199";"12.789";""
"";"BA";"ANAGÉ";"161";"18.348";""
"";"BA";"ANDARAÍ";"119";"10.611";""
"";"BA";"ANDORINHA";"45";"11.618";""
"";"BA";"ANGICAL";"126";"12.408";""
"";"BA";"ANGUERA";"194";"8.831";""
"";"BA";"ANTAS";"82";"10.608";""
"";"BA";"ANTÔNIO CARDOSO";"143";"10.724";""
"";"BA";"ANTÔNIO GONÇALVES";"53";"8.196";""
"";"BA";"APORÁ";"44";"13.237";""
"";"BA";"APUAREMA";"23";"5.182";""
"";"BA";"ARAÇÁS";"200";"9.206";""
"";"BA";"ARACATU";"90";"10.999";""
"";"BA";"ARACI";"123";"39.968";""
"";"BA";"ARAMARI";"163";"8.562";""
"";"BA";"ARATACA";"166";"5.918";""
"";"BA";"ARATUÍPE";"30";"7.854";""
"";"BA";"AURELINO LEAL";"73";"9.259";""
"";"BA";"BAIANÓPOLIS";"126";"11.582";""
"";"BA";"BAIXA GRANDE";"86";"15.520";""
"";"BA";"BANZAÊ";"110";"9.196";""
"";"BA";"BARRA";"77";"35.732";""
"";"BA";"BARRA DA ESTIVA";"169";"18.854";""
"";"BA";"BARRA DO CHOÇA";"139";"28.301";""
"";"BA";"BARRA DO MENDES";"176";"12.320";""
"";"BA";"BARRA DO ROCHA";"134";"3.881";""
"";"BA";"BARREIRAS";"70";"49.861";""
"";"BA";"BARREIRAS";"75";"42.349";""
"";"BA";"BARRO ALTO";"174";"9.809";""
"";"BA";"BARRO PRETO";"136";"5.838";""
"";"BA";"BARROCAS";"150";"12.566";""
"";"BA";"BELMONTE";"34";"15.271";""
"";"BA";"BELO CAMPO";"177";"14.897";""
"";"BA";"BIRITINGA";"150";"11.677";""
"";"BA";"BOA NOVA";"59";"13.014";""
"";"BA";"BOA VISTA DO TUPIM";"42";"13.318";""
"";"BA";"BOM JESUS DA LAPA";"71";"45.619";""
"";"BA";"BOM JESUS DA SERRA";"59";"9.004";""
"";"BA";"BONINAL";"105";"10.434";""
"";"BA";"BONITO";"69";"12.237";""
"";"BA";"BOQUIRA";"65";"16.094";""
"";"BA";"BOTUPORÃ";"168";"9.726";""
"";"BA";"BREJÕES";"36";"11.047";""
"";"BA";"BREJOLÂNDIA";"190";"7.987";""
"";"BA";"BROTAS DE MACAÚBAS";"94";"9.021";""
"";"BA";"BRUMADO";"90";"47.738";""
"";"BA";"BUERAREMA";"166";"12.220";""
"";"BA";"BURITIRAMA";"77";"14.953";""
"";"BA";"CAATIBA";"201";"7.910";""
"";"BA";"CABACEIRAS DO PARAGUAÇU";"131";"11.947";""
"";"BA";"CACHOEIRA";"118";"25.111";""
"";"BA";"CACULÉ";"93";"16.778";""
"";"BA";"CAEM";"167";"7.322";""
"";"BA";"CAETANOS";"58";"9.650";""
"";"BA";"CAETITÉ";"63";"39.487";""
"";"BA";"CAFARNAUM";"55";"13.395";""
"";"BA";"CAIRU";"31";"12.534";""
"";"BA";"CALDEIRÃO GRANDE";"115";"9.708";""
"";"BA";"CAMACÃ";"133";"17.801";""
"";"BA";"CAMAÇARI";"170";"77.829";""
"";"BA";"CAMAÇARI";"171";"87.576";""
"";"BA";"CAMAMU";"78";"24.810";""
"";"BA";"CAMPO ALEGRE DE LOURDES";"67";"22.097";""
"";"BA";"CAMPO FORMOSO";"53";"52.924";""
