"UF";"Município";"Cargo";"Turno";"Situação totalização";"Votos nominais";"Votos em trânsito";"Votos válidos";"% votos válidos"
"AL";"IBATEGUARA";"Presidente";"2";"Eleito";"3574";"0";"7013";"50,96"
"AL";"IGACI";"Presidente";"2";"Eleito";"10945";"0";"12593";"86,91"
"AL";"IGREJA NOVA";"Presidente";"2";"Eleito";"9189";"0";"11983";"76,68"
"AL";"INHAPI";"Presidente";"2";"Eleito";"7072";"0";"7951";"88,94"
"AL";"JACARÉ DOS HOMENS";"Presidente";"2";"Eleito";"2626";"0";"3222";"81,5"
"AL";"JACUÍPE";"Presidente";"2";"Eleito";"2132";"0";"3283";"64,94"
"AL";"JAPARATINGA";"Presidente";"2";"Eleito";"1489";"0";"3994";"37,28"
"AL";"JARAMATAIA";"Presidente";"2";"Eleito";"2461";"0";"3123";"78,8"
"AL";"JEQUIÁ DA PRAIA";"Presidente";"2";"Eleito";"3170";"0";"5020";"63,15"
"AL";"JOAQUIM GOMES";"Presidente";"2";"Eleito";"5653";"0";"8588";"65,82"
"AL";"JUNDIÁ";"Presidente";"2";"Eleito";"1007";"0";"2433";"41,39"
"AL";"JUNQUEIRO";"Presidente";"2";"Eleito";"8443";"0";"12335";"68,45"
"AL";"LAGOA DA CANOA";"Presidente";"2";"Eleito";"7774";"0";"10107";"76,92"
"AL";"LIMOEIRO DE ANADIA";"Presidente";"2";"Eleito";"9069";"0";"11730";"77,31"
"AL";"MACEIÓ";"Presidente";"2";"Eleito";"223476";"159";"437588";"51,11"
"AL";"MAJOR ISIDORO";"Presidente";"2";"Eleito";"6952";"0";"9688";"71,76"
"AL";"MAR VERMELHO";"Presidente";"2";"Eleito";"1655";"0";"2194";"75,43"
"AL";"MARAGOGI";"Presidente";"2";"Eleito";"4946";"0";"13191";"37,5"
"AL";"MARAVILHA";"Presidente";"2";"Eleito";"3748";"0";"5120";"73,2"
"AL";"MARECHAL DEODORO";"Presidente";"2";"Eleito";"11840";"0";"23453";"50,48"
"AL";"MARIBONDO";"Presidente";"2";"Eleito";"4486";"0";"6954";"64,51"
"AL";"MATA GRANDE";"Presidente";"2";"Eleito";"9243";"0";"10789";"85,67"
"AL";"MATRIZ DE CAMARAGIBE";"Presidente";"2";"Eleito";"5838";"0";"11849";"49,27"
"AL";"MESSIAS";"Presidente";"2";"Eleito";"5330";"0";"8734";"61,03"
"AL";"MINADOR DO NEGRÃO";"Presidente";"2";"Eleito";"2265";"0";"2879";"78,67"
"AL";"MONTEIRÓPOLIS";"Presidente";"2";"Eleito";"3078";"0";"3836";"80,24"
"AL";"MURICI";"Presidente";"2";"Eleito";"7262";"0";"13034";"55,72"
"AL";"NOVO LINO";"Presidente";"2";"Eleito";"2871";"0";"5815";"49,37"
"AL";"OLHO D'ÁGUA DAS FLORES";"Presidente";"2";"Eleito";"5263";"0";"9729";"54,1"
